run_idx,known_users,unknown_users,overall_accuracy,balanced_accuracy,FRR,FAR,ROC_AUC,n_known_samples,n_unknown_samples,n_test_windows
160,user4;user9;user11,user2;user7;user5;user1,0.7619047619047619,0.8083333333333333,0.15555555555555556,0.3,0.7792592592592592,45,60,105
161,user4;user9;user12,user8;user10;user5;user2,0.6857142857142857,0.8,0.1111111111111111,0.4666666666666667,0.8318518518518518,45,60,105
162,user4;user10;user11,user2;user1;user8;user5,0.7238095238095238,0.8291666666666667,0.08888888888888889,0.4166666666666667,0.7385185185185186,45,60,105
163,user4;user10;user12,user8;user2;user6;user9,0.780952380952381,0.8166666666666667,0.15555555555555556,0.26666666666666666,0.9096296296296296,45,60,105
164,user4;user11;user12,user8;user9;user7;user1,0.8380952380952381,0.8791666666666667,0.08888888888888889,0.21666666666666667,0.9448148148148148,45,60,105
165,user5;user6;user7,user1;user2;user3;user9,0.7904761904761904,0.8208333333333333,0.15555555555555556,0.25,0.904074074074074,45,60,105
166,user5;user6;user8,user12;user4;user9;user2,0.8380952380952381,0.8916666666666666,0.06666666666666667,0.23333333333333334,0.931111111111111,45,60,105
167,user5;user6;user9,user7;user4;user1;user12,0.5904761904761905,0.7333333333333333,0.044444444444444446,0.6,0.98,45,60,105
168,user5;user6;user10,user12;user1;user2;user7,0.780952380952381,0.8416666666666667,0.044444444444444446,0.3,0.957037037037037,45,60,105
169,user5;user6;user11,user9;user1;user8;user12,0.5714285714285714,0.7625,0.08888888888888889,0.6833333333333333,0.685,45,60,105
170,user5;user6;user12,user8;user4;user1;user3,0.9047619047619048,0.8708333333333333,0.15555555555555556,0.05,0.9644444444444444,45,60,105
171,user5;user7;user8,user10;user1;user9;user6,0.6190476190476191,0.8083333333333333,0.044444444444444446,0.6333333333333333,0.63,45,60,105
172,user5;user7;user9,user3;user10;user2;user12,0.4380952380952381,0.6541666666666667,0.06666666666666667,0.85,0.932962962962963,45,60,105
173,user5;user7;user10,user12;user8;user4;user3,0.5904761904761905,0.6583333333333333,0.044444444444444446,0.5,0.8203703703703704,45,60,105
174,user5;user7;user11,user1;user8;user12;user3,0.8476190476190476,0.8708333333333333,0.1111111111111111,0.18333333333333332,0.7555555555555555,45,60,105
175,user5;user7;user12,user4;user3;user8;user11,0.8380952380952381,0.8916666666666668,0.06666666666666667,0.23333333333333334,0.8744444444444444,45,60,105
176,user5;user8;user9,user6;user4;user2;user3,0.8666666666666667,0.8666666666666667,0.0,0.13333333333333333,0.9988888888888888,45,60,105
177,user5;user8;user10,user6;user3;user1;user12,0.8095238095238095,0.6916666666666667,0.0,0.03333333333333333,1.0,45,60,105
178,user5;user8;user11,user7;user1;user3;user12,0.8285714285714286,0.9125,0.022222222222222223,0.2833333333333333,0.942962962962963,45,60,105
179,user5;user8;user12,user4;user11;user10;user3,0.7238095238095238,0.8666666666666667,0.022222222222222223,0.4666666666666667,0.8296296296296296,45,60,105
180,user5;user9;user10,user4;user8;user1;user12,0.3238095238095238,0.5666666666666667,0.0,1.0,0.5137037037037037,45,60,105
181,user5;user9;user11,user2;user4;user3;user8,0.7714285714285715,0.7875000000000001,0.022222222222222223,0.25,1.0,45,60,105
182,user5;user9;user12,user7;user11;user4;user2,0.7619047619047619,0.7708333333333334,0.08888888888888889,0.25,0.8440740740740741,45,60,105
183,user5;user10;user11,user2;user4;user9;user1,0.5904761904761905,0.6958333333333334,0.022222222222222223,0.55,0.7244444444444444,45,60,105
184,user5;user10;user12,user4;user3;user7;user8,0.6666666666666666,0.6541666666666667,0.06666666666666667,0.31666666666666665,0.9914814814814815,45,60,105
185,user5;user11;user12,user9;user1;user8;user7,0.7714285714285715,0.8375,0.1111111111111111,0.31666666666666665,0.7577777777777778,45,60,105
186,user6;user7;user8,user10;user9;user1;user4,0.9809523809523809,0.9666666666666667,0.044444444444444446,0.0,0.9785185185185185,45,60,105
187,user6;user7;user9,user4;user12;user2;user11,0.8857142857142857,0.875,0.13333333333333333,0.1,0.8825925925925926,45,60,105
